muleID,startTime,endTime,numberOfRuns,filesRead,dataVolume,documentCalls,loadDuration,getResultDuration
795,1734093586131,1734093780497,15,2918,420192,4374,137090,56986
796,1734093586274,1734093780459,15,2948,424512,4419,136017,57741
797,1734093586131,1734093780468,15,2944,423936,4413,136619,57475
798,1734093586131,1734093780434,15,2936,422784,4401,136704,57380
799,1734093586274,1734093780466,15,2916,419904,4371,136509,57260
800,1734093586132,1734093780541,11,2032,292608,3045,138702,55485
801,1734093586135,1734093780580,10,1942,279648,2910,140257,53885
802,1734093586274,1734093780403,10,1970,283680,2952,138048,55666
803,1734093586274,1734093780356,10,1904,274176,2853,140347,53297
804,1734093586133,1734093780591,10,1936,278784,2901,139292,54828
805,1734093586133,1734093780458,10,1964,282816,2943,138705,55400
806,1734093586274,1734093780615,10,1934,278496,2898,140300,53557
807,1734093586144,1734093780549,11,1992,286848,2985,139448,54744
808,1734093586274,1734093780626,11,2020,290880,3027,138896,54948
809,1734093586179,1734093780562,10,1974,284256,2958,139755,54329
810,1734093586178,1734093780465,10,1934,278496,2898,138972,55061
811,1734093586274,1734093780426,10,1954,281376,2928,139476,54199
812,1734093586179,1734093780521,10,1942,279648,2910,139476,54613
813,1734093586274,1734093780491,10,1932,278208,2895,139993,53810
814,1734093586274,1734093780490,16,3026,435744,4536,136033,57722
815,1734093586179,1734093780497,15,2948,424512,4419,135362,58633
816,1734093586180,1734093780589,15,2970,427680,4452,136152,57895
817,1734093586273,1734093780410,15,2958,425952,4434,135955,57780
818,1734093586179,1734093780587,15,2944,423936,4413,136318,57733
819,1734093586179,1734093780457,16,2996,431424,4491,135999,58020
820,1734093586179,1734093780525,10,1902,273888,2850,140229,53867
821,1734093586180,1734093780596,11,2062,296928,3090,139159,54876
822,1734093586180,1734093780536,10,1950,280800,2922,139820,54287
823,1734093586180,1734093780259,11,2026,291744,3036,137872,55957
824,1734093586180,1734093780458,10,1936,278784,2901,139703,54326
825,1734093586274,1734093780562,10,1976,284544,2961,139259,54580
826,1734093586274,1734093780433,10,1970,283680,2952,138448,55291
827,1734093586274,1734093780535,11,2002,288288,3000,138138,55680
828,1734093586180,1734093780616,10,1866,268704,2796,141869,52249
829,1734093586180,1734093780361,10,1916,275904,2871,139319,54610
830,1734093586274,1734093780313,10,1928,277632,2889,140548,53085
831,1734093586180,1734093780166,10,1978,284832,2964,138930,54812
832,1734093586273,1734093780561,10,1948,280512,2919,139548,54320
833,1734093586273,1734093780570,10,1942,279648,2910,140368,53345
834,1734093586180,1734093780515,15,2934,422496,4398,136047,57925
835,1734093586273,1734093780478,16,2972,427968,4455,135210,58580
836,1734093586273,1734093780475,15,2950,424800,4422,136239,57546
837,1734093586180,1734093780446,15,2956,425664,4431,137013,57002
838,1734093586180,1734093780481,15,2946,424224,4416,136752,57296
839,1734093586273,1734093780454,16,3006,432864,4506,135959,57804
840,1734093586273,1734093780352,10,1964,282816,2943,138782,54868
841,1734093586181,1734093780549,10,1956,281664,2931,139736,54381
842,1734093586181,1734093780545,10,1962,282528,2940,140064,53898
843,1734093586273,1734093780624,11,2054,295776,3078,138219,55633
844,1734093586181,1734093780453,10,1976,284544,2961,138426,55494
845,1734093586181,1734093780472,10,1944,279936,2913,139191,54821
846,1734093586181,1734093780564,10,1916,275904,2871,140275,53825
847,1734093586181,1734093780166,10,1892,272448,2835,140659,53083
848,1734093586181,1734093780420,10,1976,284544,2961,139164,54821
849,1734093586181,1734093780261,10,1912,275328,2865,139836,54000
850,1734093586181,1734093780357,11,2050,295200,3072,138456,55472
851,1734093586181,1734093780625,11,2014,290016,3018,139712,54393
852,1734093586181,1734093780565,10,1942,279648,2910,139704,54372
853,1734093586181,1734093780514,10,1904,274176,2853,140320,53768
854,1734093586273,1734093780412,16,2978,428832,4464,135926,57753
855,1734093586273,1734093780516,16,2976,428544,4461,135920,57796
856,1734093586278,1734093780592,15,2950,424800,4422,135937,57842
857,1734093586273,1734093780586,15,2968,427392,4449,136337,57460
858,1734093586181,1734093780507,15,2946,424224,4416,136232,57752
859,1734093586182,1734093780494,16,3000,432000,4497,135641,58422
860,1734093586273,1734093780619,10,1946,280224,2916,139655,54177
